0,0
0.160868,0.473415
0.321736,0.946829
0.499784,1.41405
0.677832,1.88128
0.903564,2.32742
1.20343,2.72753
1.64931,2.95378
2.05865,2.66665
2.2965,2.22685
2.49213,1.76671
2.68776,1.30657
2.85332,0.834776
3.01887,0.36298
3.17864,-0.110807
3.33841,-0.584594
3.50873,-1.05469
3.67905,-1.52479
3.8824,-1.98157
4.13847,-2.41102
4.39454,-2.84047
4.85059,-3.04545
5.19164,-2.67982
5.43916,-2.24538
5.63644,-1.78594
5.81153,-1.3176
5.98663,-0.849265
6.14929,-0.376463
6.31195,0.0963395
6.47753,0.568126
6.64311,1.03991
6.82934,1.50394
7.01556,1.96796
7.25751,2.40552
7.59493,2.77451
8.08536,2.87186
8.42036,2.50067
8.64564,2.0543
8.83385,1.59107
9.02205,1.12785
9.18871,0.65644
9.35537,0.185033
9.5193,-0.28733
9.68323,-0.759692
9.86158,-1.2268
10.0399,-1.69392
10.2598,-2.143
10.4796,-2.59208
10.8297,-2.94904
11.3297,-2.94411
11.5709,-2.50613
11.8001,-2.06178
11.9877,-1.59829
12.1752,-1.1348
12.3385,-0.662203
12.5017,-0.189608
12.6624,0.283888
12.823,0.757384
12.9974,1.22598
13.1718,1.69458
13.3858,2.14647
13.6632,2.56243
14.0659,2.85883
14.5473,2.72355
14.8129,2.29996
15.0174,1.84366
15.2218,1.38737
15.3894,0.916297
15.557,0.445228
15.7168,-0.0285468
15.8766,-0.502322
16.0455,-0.972933
16.2144,-1.44354
16.4137,-1.9021
16.6619,-2.33616
16.9101,-2.77021
17.3374,-3.02981
17.7422,-2.73635
17.9785,-2.29568
18.18,-1.83807
18.357,-1.37046
18.534,-0.902843
18.697,-0.430159
18.86,0.0425252
19.0249,0.51456
19.1898,0.986595
19.374,1.45143
19.5581,1.91627
19.7948,2.35674
